title,url,views,duration,likes,dislikes,channelName,subscribers,description,keywords,date_published,date_scraped,tags,comments,image_urls,path,checksum,status
morad yo no voy video oficial ,https://www.youtube.com/watch?v=npZoWxdZXVc,14,271.0,124126,4104,M.D. L.R,556000,ya disponible en todos lados https links altafonte com yonovoy video directed by puig films film prod by crasis agency music prod by voluptyk shb,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-10-29,2020-07-11 15:38:42, ,['[]'],http://i4.ytimg.com/vi/npZoWxdZXVc/hqdefault.jpg,full/f87d6ab46b4540dd7b51546b0db47e400624d980.jpg,1cedd350848bcfc5833a2461f817a008,downloaded
bad bunny x jhay cortez dákiti video oficial ,https://www.youtube.com/watch?v=TmKh7lAwnBI,1,213.0,2,36846,Bad Bunny,284,bad bunny jhay cortez dákiti suscríbete al canal https rimas ffm to ytbadbunny dakiti https rimas ffm to dakiti stream yhlqmdlg https rimas ffm ,bad bunny dakiti dakiti bad bunny bad bunny jhay cortez dakiti jhay cortez bad bunny dakiti bad bunny jhay cortez bad bunny jhar cortez dakiti video ,2020-10-29,2020-07-11 15:39:00, bad bunny dakiti dakiti bad bunny bad bunny jhay cortez dakiti jhay cortez bad bunny dakiti bad bunny jhay cortez bad bunny jhar cortez dakiti video bad bunny dakiti dakiti video bad bunny jhay cortez bad bunny jhay jhay bad bunny bad bunny dakiti jhay cortez dakiti bad bunny letra jhay cortez video bad bunny dakiti dakiti bad bad bunny dakiti jhay cortez dakiti dakiti jhay cortez dakiti jhay bad bunny bad bunny y jhay cortez jhay cortez y bad bunny dakiti ,['[]'],http://i4.ytimg.com/vi/TmKh7lAwnBI/hqdefault.jpg,full/154089adb7887926133b218b5a3e0986f035be20.jpg,d23f1b5866c175323a094a0d8c56cf4d,downloaded
gunada no halloween,https://www.youtube.com/watch?v=dtwQixldi24,373235,281.0,12266,145,AlexandreSantosComedy,529000,links no comentário afixado feliz halloween a todos redes sociais facebook https goo gl at1yrr instagram https goo gl 6u5qaz twitter https g ,alex alexandre alexandreee07 estrondo gunada guna humor comedia comédia portugal tuga porto halloween mascarados carnaval alexandresantoscomed ,2020-10-31,2020-07-11 15:39:17, alex alexandre alexandreee07 estrondo gunada guna humor comedia comédia portugal tuga porto halloween mascarados carnaval alexandresantoscomedy alexandresantosbitchez alexandre santos ,['[]'],http://i4.ytimg.com/vi/dtwQixldi24/hqdefault.jpg,full/82fa141a911442a952ec939c46f563e0f910465c.jpg,8eeaf29d0496d9949c8e8f9edff180a5,downloaded
à solta,https://www.youtube.com/watch?v=zdTGamARGdU,31727,178.0,2519,35,DAMA Music Oficial,274000,provided to youtube by sony music entertainment à solta d a m a ivo lucas bárbara bandeira sozinhos à chuva 2020 sony music entertainemnet portugal ,d a m a ivo lucas bárbara bandeira sozinhos à chuva à solta,2020-10-29,2020-07-11 15:39:35, d a m a ivo lucas bárbara bandeira sozinhos à chuva à solta ,['[]'],http://i4.ytimg.com/vi/zdTGamARGdU/hqdefault.jpg,full/180f09fb1a32aadc1cbc487ad8b23bb666a9cd31.jpg,7e5cec724814c7dcfe81d42bdb357cc1,downloaded
dero vibez broke,https://www.youtube.com/watch?v=lFnjFEoPhgU,163000,191.0,5027,79,Caverna,83400,dero vibez broke spotlfy https rb gy 0wmjrr follow dero vibez https instagram com derovibez_ management booking derovibez booking gmail com estudio ,linha da azambuja bago rap hip hop psico oz gson kroa zara vialonga barras tuga beef freestyle regula valete sam the kid v block punch ,2020-11-01,2020-07-11 15:39:52, linha da azambuja bago rap hip hop psico oz gson kroa zara vialonga barras tuga beef freestyle regula valete sam the kid v block punchline deezy real flajo dia normal c est la nova biblia fase loucura youtube music ,['[]'],http://i4.ytimg.com/vi/lFnjFEoPhgU/hqdefault.jpg,full/9571b2db43e375c46265de05197e99de82ef4e03.jpg,d4b6e60dcb9d7b378a73ab2346fc1cad,downloaded
teresa guilherme graça freitas e marta temido parte 2 cá por casa rtp,https://www.youtube.com/watch?v=HzPoEshZuzg,14909,256.0,819,22,RTP,479000,siga nos http www facebook com rtp fale connosco https twitter com rtppt visite nos http www rtp pt veja mais http www rtp pt play,rtp rtp1 estação pública estamos ligados somos o primeiro cá por casa,2020-11-05,2020-07-11 15:40:10, rtp rtp1 estação pública estamos ligados somos o primeiro cá por casa ,['[]'],http://i4.ytimg.com/vi/HzPoEshZuzg/hqdefault.jpg,full/4263c360b75ff7898af19d078b8b827a075c8981.jpg,33e796cc09964ac8004757f9d74f02ef,downloaded
now united r3hab one love official music video ,https://www.youtube.com/watch?v=Iv1VR5Jdgoc,39,215.0,283849,1821,NOW UNITED,621,now united presents one love filmed in dubai uae nowunitedr3habonelove follow now united for more updates instagram http www instagram com nowunite ,now united nowunited new united one united now united episode the now united show bailey may now united bailey may summer in the city now united mem ,2020-11-06,2020-07-11 15:40:28, now united nowunited new united one united now united episode the now united show bailey may now united bailey may summer in the city now united members now united show we are now united nowunited philippines now united any now united sina josh beauchamp noah urrea now united mame diarra فرقة now united ناو يونايتد ,['[]'],http://i4.ytimg.com/vi/Iv1VR5Jdgoc/hqdefault.jpg,full/a490a84dc82c9b8e1a4ca08557b9bd37953d8da9.jpg,59e089dd55c814a255b17114e2ec078c,downloaded
system of a down protect the land official video ,https://www.youtube.com/watch?v=XqmknZNg1yw,18,307.0,304609,28584,System Of A Down,494, protect the land and genocidal humanoidz are now available for purchase on our official bandcamp page https systemofadown bandcamp com where band proc ,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-11-05,2020-07-11 15:40:45, ,['[]'],http://i4.ytimg.com/vi/XqmknZNg1yw/hqdefault.jpg,full/6632d38530a7d762796fd39e00c015012218e9cf.jpg,0830507e53b2bbdc80ccf42ba63cfce9,downloaded
pop smoke ft quavo aim for the moon official music video ,https://www.youtube.com/watch?v=Qh2UmXaa-4E,74,179.0,520354,6409,POP SMOKE,371,official video for pop smoke aim for the moon available now https popsmoke lnk to sftsaftm subscribe to pop smoke s channel https popsmoke lnk to sub ,pop smoke shoot for the stars aim for the moon shoot for the stars aim for the moon tiktok mood swings what you know about love quavo victor victor ,2020-10-26,2020-07-11 15:41:03, pop smoke shoot for the stars aim for the moon shoot for the stars aim for the moon tiktok mood swings what you know about love quavo victor victor smoke woo ,['[]'],http://i4.ytimg.com/vi/Qh2UmXaa-4E/hqdefault.jpg,full/61ce56df02e5d8860c4632586abe8a3b97f8480d.jpg,4f5b46c311c23dc0fea67c862eacbb03,downloaded
now united golden official music video ,https://www.youtube.com/watch?v=Btk8QDquZj4,8,228.0,395596,7029,NOW UNITED,621,now united presents golden filmed in dubai uae we are the earth they are the moon you are the sunlight in the room you make it golden nowunitedgold ,now united nowunited new united one united now united episode the now united show bailey may now united bailey may summer in the city now united mem ,2020-10-28,2020-07-11 15:41:20, now united nowunited new united one united now united episode the now united show bailey may now united bailey may summer in the city now united members now united show we are now united nowunited philippines now united any now united sina josh beauchamp noah urrea now united mame diarra فرقة now united ناو يونايتد ,['[]'],http://i4.ytimg.com/vi/Btk8QDquZj4/hqdefault.jpg,full/17f1be7b4d5834959d38cf8c6420661261736d71.jpg,8779e9fcd9bbdf1996b7aa81efca3181,downloaded
